Partner,Year,Month,NetWeight,TradeValue,CumulativeNetWeight,CumulativeTradeValue,UnitValue,CumulativeUnitValue
Portugal,2019,9,6.15366,2.462773,12.48706,5.046735999999999,0.40021271893474775,0.40415726359927795
Portugal,2019,10,1.45,0.563563,13.93706,5.6102989999999995,0.3886641379310345,0.40254537183595385
Portugal,2019,11,1.74046,0.676354,15.677520000000001,6.286652999999999,0.388606460361054,0.40099792569232884
Portugal,2019,12,1.76042,0.68798,17.43794,6.974633,0.3908044671158019,0.3999688610007833
Portugal,2020,1,5.04819,2.019755,5.04819,2.019755,0.40009488549361255,0.40009488549361255
Portugal,2020,6,3.45448,1.502774,8.50267,3.522529,0.43502176883351473,0.41428504222791196
Portugal,2020,7,5.74459,2.493037,14.24726,6.015566,0.4339799707202777,0.42222616840009936
Portugal,2020,8,2.47559,1.154147,16.72285,7.169713,0.4662108830622195,0.42873750586771986
Portugal,2020,10,5.64784,2.511502,22.37069,9.681215,0.44468363126434174,0.43276336134468807
Portugal,2020,11,0.025,0.013609,22.39569,9.694824,0.54436,0.4328879351339477
Portugal,2021,1,1.8,0.761615,1.8,0.761615,0.42311944444444444,0.42311944444444444
Portugal,2021,2,1.14336,0.480878,2.94336,1.242493,0.4205831933949063,0.4221342275494673
Portugal,2021,3,6.31148,2.698197,9.254840000000002,3.94069,0.4275062267487182,0.42579774474761306
Portugal,2021,8,1.6,0.685685,10.854840000000001,4.626375,0.428553125,0.4262038869297014
Portugal,2021,9,0.392,0.167972,11.24684,4.794347,0.4285,0.42628391619334854
others,2016,4,2.039826,0.7379789999999999,2.039826,0.7379789999999999,0.36178526992008136,0.36178526992008136
others,2016,5,3.00002,1.046219,5.039846000000001,1.784198,0.348737341751055,0.35401835691011185
others,2016,7,0.096055,0.037368000000000005,5.1359010000000005,1.821566,0.3890271198792359,0.3546731138314387
others,2016,11,0.018384,0.024,5.154285000000001,1.845566,1.3054830287206265,0.3580644066053778
others,2016,12,0.024,0.017769,5.178285000000001,1.863335,0.740375,0.3598363164638485
others,2017,1,0.050116,0.019162,0.050116,0.019162,0.38235294117647056,0.38235294117647056
others,2017,2,0.170772,0.080546,0.220888,0.099708,0.47165811725575624,0.45139618268081566
others,2017,3,0.060231,0.019303,0.281119,0.119011,0.32048280785641947,0.42334740803716575
others,2017,4,0.020077,0.006507,0.301196,0.12551800000000002,0.3241022065049559,0.4167319619118448
others,2017,5,0.098193,0.049777,0.399389,0.175295,0.5069302292424104,0.43890793186592525
others,2017,6,0.125096,0.03911,0.5244850000000001,0.214405,0.31263989256251196,0.4087914811672402
others,2017,7,0.025096,0.008188,0.549581,0.222593,0.32626713420465414,0.4050230994157368
others,2017,8,0.175096,0.058843,0.724677,0.281436,0.33606136062502856,0.38836060755343416
others,2017,9,2.200183,0.75686,2.92486,1.0382959999999999,0.34399865829342374,0.3549899824265093
others,2017,10,0.001076,0.00095,2.9259359999999996,1.039246,0.8828996282527881,0.35518411885974266
others,2017,11,0.045173,0.01459,2.9711089999999998,1.053836,0.32298054147388927,0.35469449286444893
others,2017,12,0.020077,0.006708,2.991186,1.060544,0.3341136623997609,0.35455635323246365
others,2018,1,0.1,0.034158,0.1,0.034158,0.34158,0.34158
others,2018,2,0.101254,0.034109,0.201254,0.068267,0.3368657040709503,0.3392081648066622
others,2018,4,0.6,0.222194,0.8012539999999999,0.29046099999999997,0.37032333333333334,0.36250801868071797
others,2018,5,1.5250000000000001,0.545193,2.3262540000000005,0.835654,0.35750360655737706,0.3592273242732736
others,2018,6,2.175,0.777033,4.501254,1.612687,0.35725655172413795,0.35827504957507395
others,2018,7,0.925,0.31393899999999997,5.426254,1.926626,0.3393935135135135,0.35505636116554806
others,2018,8,0.825,0.297454,6.251254,2.22408,0.36055030303030305,0.3557814160166904
others,2018,9,0.765,0.26549900000000004,7.016254,2.489579,0.3470575163398693,0.3548302270698866
others,2018,10,0.23320999999999997,0.100766,7.249464000000001,2.590345,0.43208267226962827,0.357315382213085
others,2018,11,0.46384,0.157345,7.713304,2.74769,0.3392225767506037,0.35622737026830525
others,2018,12,0.15,0.050392,7.863304,2.798082,0.33594666666666667,0.35584049656480277
others,2019,1,0.328862,0.120089,0.328862,0.120089,0.36516532770584625,0.36516532770584625
others,2019,2,0.028822,0.00969,0.357684,0.129779,0.3362015127333287,0.3628314378054372
others,2019,3,0.053122,0.026247,0.410806,0.156026,0.4940890779714619,0.379804579290468
others,2019,4,0.05004,0.026005,0.460846,0.182031,0.5196842525979216,0.39499312134639336
